cgpa,coding_score,internships_count,attendance_percentage,projects_count,communication_score,branch,selected_skills_count,placed
9.46,573,3,74,3,87,eee,2,0
5.98,339,0,94,4,57,civil,3,0
6.54,176,2,60,5,89,mech,2,0
8.22,879,2,66,3,71,mech,2,1
6.52,568,0,72,3,54,ece,3,1
9.67,599,3,99,2,95,mech,3,1
8.99,772,3,75,3,79,civil,8,1
9.44,189,0,83,3,92,cse,3,0
7.28,902,0,90,3,73,cse,3,1
7.29,461,2,84,1,67,eee,0,0
9.57,624,3,60,5,72,cse,2,0
9.72,862,1,80,3,60,mech,0,1
8.16,879,1,84,0,56,eee,2,0
6.06,266,3,95,2,45,civil,6,0
9.89,776,1,79,4,64,cse,2,0
8.04,825,1,65,1,51,cse,6,1
8.79,606,2,95,1,47,ece,3,1
8.94,162,3,86,3,74,cse,7,1
8.15,637,3,81,3,45,civil,0,1
7.96,784,1,58,1,49,cse,5,1
9.34,833,2,76,0,43,cse,6,0
6.23,441,1,84,5,77,eee,0,1
6.85,527,3,59,3,93,civil,1,1
6.11,861,2,76,4,66,civil,3,0
8.25,261,0,85,5,84,civil,4,0
9.32,415,2,63,4,76,mech,8,0
7.74,334,1,100,2,52,cse,1,1
8.31,270,1,94,3,66,cse,5,1
9.13,367,0,95,1,84,eee,4,0
6.88,668,2,55,0,83,eee,5,0
8.06,179,1,67,2,93,eee,7,0
9.09,811,1,85,1,80,mech,8,0
7.58,573,0,88,2,76,eee,8,0
6.44,851,2,77,0,49,eee,0,1
7.19,697,1,91,4,64,ece,1,0
8.88,872,2,100,0,57,mech,1,1
6.57,612,2,68,4,59,ece,1,1
5.67,356,0,83,4,41,mech,8,1
7.03,645,2,75,1,89,cse,8,0
6.1,891,0,84,3,85,civil,1,1
9.7,853,0,76,3,96,cse,1,1
8.47,469,0,91,2,80,ece,5,1
6.79,695,2,83,5,47,eee,2,1
6.02,787,0,68,4,62,civil,5,0
9.74,440,1,65,0,59,civil,5,0
5.73,179,3,98,0,46,mech,0,1
7.26,871,3,94,2,59,eee,3,1
8.52,696,0,84,4,48,cse,7,1
6.9,809,3,85,1,100,ece,2,0
8.28,522,3,66,5,98,eee,5,1
5.64,636,0,77,3,69,ece,4,0
8.22,280,0,80,5,90,cse,5,0
5.82,459,3,80,4,66,ece,3,0
9.88,543,0,76,1,92,civil,6,0
7.46,500,1,66,5,82,cse,7,1
8.18,483,0,83,1,59,mech,1,0
8.58,760,3,75,3,81,cse,1,1
6.13,744,0,64,5,49,mech,8,1
8.27,607,1,68,5,96,eee,4,0
9.61,461,3,100,2,45,civil,0,1
7.8,280,2,58,2,97,civil,0,1
8.02,517,0,73,0,55,mech,6,0
8.7,565,3,82,4,53,ece,7,1
8.0,518,3,64,2,95,ece,2,1
8.42,297,3,97,3,48,cse,2,1
7.37,616,3,94,1,69,civil,6,1
7.53,513,1,66,3,78,cse,7,0
6.57,663,2,81,4,76,eee,0,0
8.06,871,2,62,4,70,cse,2,0
7.87,918,2,84,4,45,civil,1,1
8.34,829,0,98,5,74,civil,4,1
9.57,697,0,85,3,72,mech,5,1
9.82,451,2,65,0,84,civil,4,0
8.04,212,3,92,1,76,cse,4,0
8.31,443,3,60,1,72,cse,4,1
8.27,431,2,55,5,47,civil,2,0
8.83,824,3,78,1,56,ece,7,1
7.87,183,2,60,1,78,ece,7,0
7.36,542,1,97,3,86,ece,3,0
9.29,205,2,62,0,50,mech,6,0
7.64,920,1,79,5,85,mech,7,1
7.89,595,0,73,3,64,eee,8,0
5.68,694,2,82,4,98,eee,5,1
9.11,411,3,84,5,87,ece,3,1
8.55,334,2,90,0,83,cse,1,1
5.94,256,3,77,1,86,eee,4,1
5.61,244,0,93,5,97,ece,1,0
6.04,769,1,79,5,88,civil,2,0
8.63,409,2,84,5,99,cse,7,0
6.74,587,2,71,1,89,cse,4,0
7.22,490,0,71,2,51,mech,1,0
9.68,774,3,66,5,71,cse,2,1
7.44,778,0,83,5,56,cse,0,1
8.07,406,3,56,3,49,cse,0,0
6.7,866,2,80,4,40,civil,7,1
7.32,895,0,89,1,40,mech,7,1
7.91,517,2,98,2,65,cse,1,1
9.34,498,0,84,2,81,ece,2,1
9.85,826,1,74,5,64,cse,5,1
9.48,598,1,63,0,52,cse,3,0
5.78,703,2,86,4,93,mech,0,1
5.75,888,0,80,0,53,civil,7,0
9.42,699,1,92,1,99,cse,0,0
7.7,169,3,94,0,55,ece,0,1
5.72,464,0,84,4,50,civil,1,0
5.98,659,1,59,1,67,eee,6,0
9.89,739,1,75,1,88,cse,2,1
6.04,294,3,65,5,63,civil,2,0
9.67,191,1,61,5,79,mech,2,1
7.69,156,0,66,0,85,civil,4,0
9.13,941,3,99,1,53,ece,4,1
7.35,328,0,93,1,85,mech,1,0
9.02,506,3,55,4,55,ece,1,0
9.9,783,2,89,4,54,mech,3,1
6.37,302,3,86,1,50,cse,0,0
6.78,595,2,76,4,91,mech,0,1
5.74,700,1,65,0,71,civil,1,1
6.56,605,2,81,1,87,eee,3,0
6.97,250,1,81,1,64,ece,1,0
7.68,596,1,68,4,69,ece,6,1
7.56,348,2,72,1,61,ece,0,0
5.77,289,0,84,3,66,ece,5,0
6.83,310,1,91,4,94,ece,1,1
7.85,371,3,84,2,40,mech,3,1
7.45,377,1,91,0,66,cse,0,0
8.8,666,0,82,4,65,mech,1,1
6.58,721,0,99,5,66,ece,2,1
6.58,242,0,85,5,59,ece,7,0
8.86,174,3,84,1,95,mech,2,0
7.17,625,0,95,0,64,eee,8,1
7.42,426,1,98,0,79,eee,0,0
9.6,522,0,62,3,63,mech,0,1
6.29,722,0,90,5,89,ece,2,0
6.57,266,3,92,5,53,ece,5,1
6.7,846,3,72,0,44,eee,5,1
7.76,275,3,100,4,83,civil,4,1
7.16,839,0,67,3,45,cse,6,0
6.8,228,0,65,2,47,ece,7,1
6.42,792,0,73,3,83,civil,2,0
7.39,905,0,73,1,44,cse,3,0
7.84,493,3,92,2,81,eee,7,1
8.64,711,3,84,2,76,ece,4,1
6.67,645,2,73,0,49,eee,4,1
6.25,314,2,66,1,93,ece,2,1
5.69,474,1,83,2,63,ece,3,0
5.66,474,2,64,2,68,civil,2,0
6.05,175,3,86,1,100,mech,5,1
9.87,709,2,96,5,58,mech,4,0
8.89,737,1,91,5,98,mech,5,1
8.79,191,1,98,4,47,eee,0,1
9.28,606,2,60,2,43,civil,3,0
6.5,935,2,67,0,45,civil,7,0
9.81,674,3,67,3,60,civil,8,0
9.59,519,3,64,5,94,mech,5,1
5.55,503,2,74,3,95,civil,1,1
9.5,909,3,83,2,50,mech,6,1
8.14,238,1,68,2,70,civil,5,1
9.82,924,3,60,0,66,eee,6,1
7.58,731,1,67,1,93,mech,4,0
5.69,459,2,86,4,87,mech,3,1
5.51,418,2,95,5,70,cse,4,0
7.71,854,1,56,0,88,eee,7,0
5.8,913,2,92,3,76,mech,4,0
7.64,860,0,78,4,86,civil,0,0
6.23,209,1,75,3,96,ece,5,1
6.73,579,2,58,2,58,civil,1,0
8.95,337,0,93,1,74,eee,5,0
8.58,458,2,98,5,84,eee,1,1
7.08,297,0,63,4,58,eee,7,0
9.64,316,0,68,1,72,ece,3,0
8.01,856,0,81,3,98,cse,1,0
9.66,641,2,74,5,63,ece,7,0
8.19,931,2,66,5,59,cse,1,1
9.36,295,1,74,1,53,ece,1,1
8.93,264,0,56,3,88,mech,0,1
5.65,825,0,85,0,98,eee,0,1
8.5,922,0,62,4,53,civil,3,1
7.08,242,1,72,4,62,eee,2,0
9.01,777,1,87,4,44,cse,0,1
8.72,438,1,89,0,86,cse,3,0
9.33,636,2,99,4,51,mech,1,1
7.1,538,3,68,4,54,mech,1,0
6.91,627,0,88,1,71,eee,4,0
5.68,485,3,62,3,58,mech,4,0
9.28,381,3,73,3,52,cse,7,0
7.15,163,3,98,0,65,mech,8,0
5.88,296,3,80,5,77,cse,2,1
9.89,496,1,93,3,47,ece,6,0
6.75,880,2,96,3,62,mech,6,0
7.8,300,3,61,0,56,mech,7,1
9.74,180,0,58,0,71,cse,2,0
8.56,306,2,94,4,46,cse,8,0
9.07,356,2,97,3,71,civil,4,1
9.14,703,0,57,3,96,cse,6,1
9.34,603,3,57,0,51,civil,4,0
6.24,591,1,74,5,64,mech,1,0
7.71,717,3,85,4,94,ece,8,1
6.69,755,3,94,5,62,eee,5,1
8.16,281,2,77,5,77,cse,5,1
7.43,515,3,77,0,82,ece,3,1
6.9,236,0,74,0,61,ece,0,0
5.67,823,3,91,4,97,mech,4,1
7.61,172,2,79,4,64,eee,1,0
5.95,841,1,76,3,72,eee,2,0
7.14,596,1,86,5,94,cse,8,1
6.69,454,3,69,4,87,cse,1,0
6.73,730,3,82,1,62,cse,4,1
6.85,829,2,67,3,65,eee,8,1
8.94,334,0,95,5,73,ece,7,1
9.83,910,3,72,5,74,civil,6,0
8.77,211,1,78,3,49,ece,2,0
8.94,595,3,75,0,80,ece,6,1
6.79,314,2,98,4,55,mech,3,1
6.36,401,2,84,3,75,mech,6,0
5.67,313,2,63,0,56,eee,8,1
9.34,889,3,56,0,95,cse,5,1
9.4,566,2,97,5,96,cse,6,0
8.76,293,1,62,4,87,civil,1,0
9.23,943,2,86,0,55,civil,1,0
6.91,748,3,70,3,53,ece,1,1
9.86,600,3,71,4,43,mech,8,1
9.77,474,3,85,5,55,eee,2,1
8.72,465,0,96,4,42,cse,3,1
7.23,804,2,98,0,74,ece,7,1
9.59,552,2,74,0,99,ece,4,1
9.51,599,2,96,3,90,cse,4,0
9.2,653,3,81,2,85,mech,1,0
8.64,668,0,77,3,78,civil,5,1
5.62,203,1,95,3,90,ece,0,0
8.33,471,0,62,1,55,civil,2,0
8.59,477,3,85,5,48,eee,2,1
9.22,438,1,60,3,63,ece,6,0
9.75,734,1,56,0,99,civil,3,0
9.88,353,2,99,1,43,mech,6,1
6.17,526,1,91,0,40,civil,6,0
9.68,839,3,62,1,85,ece,3,0
9.16,422,2,86,3,48,mech,3,1
9.98,439,1,81,1,66,ece,0,1
6.68,782,3,70,2,77,mech,1,1
6.1,481,3,98,1,85,mech,6,0
6.65,247,0,58,2,99,ece,7,0
9.99,836,0,55,2,72,civil,6,1
7.28,529,1,90,0,77,ece,4,1
7.72,497,3,63,0,60,civil,6,1
6.03,195,1,86,2,87,eee,6,0
9.45,777,2,88,2,67,ece,5,1
7.71,304,3,58,1,49,cse,3,1
7.62,317,3,82,0,97,mech,0,1
9.95,724,3,84,3,47,ece,1,1
6.42,440,1,65,5,72,eee,3,0
9.87,688,1,81,0,55,mech,1,0
5.62,847,0,80,2,77,cse,5,1
5.86,874,3,84,5,57,civil,0,1
5.7,787,3,75,5,86,civil,2,1
5.72,809,2,75,0,87,cse,8,0
7.22,558,2,66,1,89,mech,1,1
6.44,547,3,73,5,88,ece,1,1
9.1,903,2,98,4,48,eee,1,1
7.81,651,3,79,3,57,civil,6,1
7.4,527,1,82,5,67,cse,0,1
9.88,842,1,96,5,85,ece,7,1
8.41,235,2,84,3,45,mech,4,1
6.08,457,1,88,3,58,civil,0,0
9.63,675,0,87,3,66,cse,7,1
8.06,409,2,71,4,45,civil,0,1
8.48,333,1,80,0,45,mech,4,1
8.76,925,3,94,2,61,ece,3,1
8.86,768,2,98,0,67,civil,0,1
6.03,325,3,84,5,65,civil,7,1
9.16,781,2,99,5,84,mech,4,1
6.11,345,0,56,5,52,cse,3,0
6.15,397,3,95,4,52,cse,4,0
6.17,582,0,62,1,97,ece,7,0
7.62,610,1,67,2,76,mech,0,1
5.96,880,3,81,3,87,civil,8,0
5.67,559,3,87,4,86,civil,7,1
5.77,169,3,91,2,75,cse,4,0
7.38,634,0,86,4,100,eee,7,0
5.59,444,1,85,2,68,ece,8,1
9.59,497,3,63,2,86,mech,6,0
8.53,902,2,85,1,79,ece,4,1
5.89,644,1,66,1,50,civil,7,1
7.37,655,2,70,1,75,cse,0,1
6.67,843,1,66,4,42,cse,5,1
8.28,273,1,86,2,61,eee,0,0
8.01,304,0,100,0,99,mech,7,0
8.9,258,0,90,0,72,cse,2,0
9.42,520,1,73,5,68,civil,7,0
5.95,812,2,76,1,47,ece,7,0
8.96,156,1,85,2,58,civil,2,1
7.18,922,3,78,5,82,ece,2,1
7.88,383,1,82,3,98,mech,7,0
7.82,848,2,56,3,49,cse,8,0
5.88,472,3,65,3,43,mech,0,0
8.39,738,0,95,5,91,civil,4,1
9.49,867,2,75,2,40,eee,8,1
6.16,563,3,96,1,96,civil,7,0
9.49,950,3,67,2,45,cse,8,1
8.76,907,1,88,4,58,ece,1,1
6.91,498,1,56,0,96,civil,4,0
8.98,893,3,87,0,86,cse,5,1
7.78,276,0,96,0,68,eee,0,0
9.92,913,1,77,2,58,civil,2,1
7.84,403,0,75,4,77,ece,5,1
6.16,585,3,60,0,43,mech,2,0
7.51,528,3,92,4,73,mech,4,1
8.36,600,3,81,1,49,civil,2,1
7.56,871,0,99,1,69,mech,0,0
9.75,528,0,93,3,47,cse,5,1
5.68,306,0,78,2,63,eee,4,0
9.06,295,3,58,2,96,eee,3,1
8.83,152,0,90,2,44,cse,6,0
6.89,613,2,79,3,93,civil,2,0
7.77,621,3,97,3,49,eee,1,0
8.49,569,3,69,3,61,civil,0,0
9.51,903,2,96,0,95,ece,0,1
9.08,874,2,90,5,47,civil,1,1
8.28,740,0,91,4,52,mech,8,0
6.04,694,1,56,2,90,ece,3,0
9.28,743,3,60,4,78,eee,6,1
7.71,173,2,82,1,66,cse,8,1
6.66,267,0,89,1,58,ece,2,1
5.9,464,3,98,1,43,civil,5,1
8.71,455,3,61,2,49,mech,5,1
9.74,273,0,67,1,88,civil,3,0
8.89,544,0,72,0,60,mech,8,1
7.68,567,1,56,2,75,civil,1,1
8.0,278,2,91,3,68,cse,8,1
9.86,532,1,70,4,100,mech,8,1
5.5,625,2,96,1,40,cse,7,1
6.63,846,3,77,5,53,civil,8,1
6.23,696,0,74,0,65,cse,2,0
9.99,592,1,94,4,91,eee,5,1
9.91,874,3,72,1,82,eee,5,1
9.82,486,0,99,1,81,cse,7,1
5.54,327,3,90,5,85,mech,6,0
9.04,814,0,89,0,97,mech,1,1
9.16,765,2,79,1,93,cse,1,1
9.71,605,0,69,5,41,eee,5,1
9.17,790,2,100,1,54,mech,5,1
7.72,870,1,55,1,92,mech,1,0
8.06,655,1,90,1,82,civil,2,1
6.08,216,1,71,4,94,ece,8,0
6.73,844,0,99,5,74,civil,4,0
9.47,152,3,96,5,100,cse,5,1
9.98,430,0,98,4,69,mech,5,1
5.7,888,1,58,2,98,mech,8,0
5.52,349,2,60,4,91,cse,3,0
7.41,226,1,67,1,61,eee,1,0
5.94,641,3,56,4,91,eee,4,1
7.63,498,0,76,4,90,ece,1,0
8.29,932,0,95,3,77,cse,1,0
9.63,536,2,99,0,90,ece,0,0
7.49,458,3,59,0,83,cse,8,1
9.32,561,0,94,3,54,civil,0,1
7.59,588,0,76,5,100,cse,7,1
8.15,260,0,55,4,85,cse,3,0
6.07,671,2,77,3,70,civil,7,1
6.12,195,0,63,2,77,mech,8,0
8.89,468,1,64,3,59,civil,5,1
9.87,680,1,58,1,72,civil,0,1
6.38,355,1,59,2,52,mech,7,0
6.99,742,2,94,2,66,eee,2,1
9.44,193,3,69,0,80,ece,3,1
6.46,642,2,79,1,65,ece,0,1
5.83,180,0,64,2,68,ece,5,1
5.63,352,2,66,1,96,eee,2,0
8.0,332,1,56,1,93,eee,1,1
8.55,538,0,76,1,59,mech,3,1
7.18,325,3,100,0,47,ece,2,0
6.36,537,2,75,4,67,ece,0,0
8.14,698,2,64,2,55,cse,4,0
9.33,748,3,68,5,45,mech,1,1
7.25,810,2,86,4,69,ece,5,0
7.86,644,3,85,2,77,mech,0,1
9.53,612,1,80,1,59,mech,6,1
9.71,533,2,90,0,48,cse,4,1
7.08,747,0,84,4,79,eee,6,1
7.45,526,3,75,2,64,cse,2,1
6.7,227,2,60,2,93,civil,8,0
5.85,433,1,61,0,44,eee,0,0
7.0,841,2,71,2,87,eee,3,0
9.99,920,2,55,2,58,eee,6,0
9.2,925,0,85,5,72,ece,6,1
8.76,364,3,69,4,77,civil,7,0
7.58,237,2,67,3,89,mech,3,0
9.34,180,2,63,4,95,ece,4,0
5.54,824,2,76,1,66,mech,6,0
8.61,456,2,92,0,76,cse,2,1
9.79,488,3,79,1,100,mech,1,1
6.35,261,2,91,3,80,eee,1,1
8.54,331,0,99,4,71,cse,2,1
9.6,545,2,68,1,58,civil,1,1
7.16,161,1,75,3,65,ece,1,1
7.38,910,0,79,1,48,ece,4,1
8.69,636,1,93,4,100,eee,3,1
8.58,432,1,55,1,68,cse,6,0
6.61,486,3,84,3,76,cse,1,1
9.46,617,2,99,5,90,eee,6,1
9.14,329,3,70,1,97,civil,6,1
9.6,337,0,80,5,100,cse,3,0
6.21,793,2,97,0,84,ece,7,1
8.93,274,2,59,0,72,eee,6,0
6.64,668,0,84,0,44,mech,6,1
7.3,349,3,57,0,56,cse,2,1
8.87,646,3,59,0,75,ece,7,1
9.19,315,1,56,4,46,ece,4,1
8.84,322,0,97,0,83,eee,2,1
6.3,881,0,98,4,53,mech,0,0
9.15,806,0,79,5,59,mech,0,1
5.72,536,1,70,2,98,ece,3,1
7.4,164,2,67,5,82,cse,3,0
5.93,830,1,65,0,66,civil,1,0
6.95,791,1,94,1,99,civil,6,0
6.04,368,0,77,2,51,cse,6,0
5.55,367,3,69,0,82,eee,5,1
9.48,570,2,93,3,46,civil,2,1
5.93,482,3,98,5,48,eee,2,0
9.48,475,3,59,2,41,civil,7,1
8.38,388,0,69,0,79,cse,4,1
7.43,399,0,58,1,63,mech,4,0
7.19,807,0,70,5,78,mech,5,1
6.93,928,0,88,3,81,eee,0,1
8.8,500,1,68,4,43,ece,3,0
7.22,479,1,83,5,40,cse,7,1
6.37,799,1,68,1,45,ece,8,0
9.69,391,0,82,5,69,eee,2,0
6.6,330,1,74,2,76,mech,3,1
9.02,231,2,80,3,50,mech,7,1
8.24,593,1,85,0,88,mech,6,0
8.91,457,1,90,5,51,eee,6,1
7.54,534,3,59,2,48,mech,3,1
6.35,163,2,86,3,99,mech,6,0
7.18,651,2,96,4,44,mech,0,0
6.06,729,1,67,3,56,eee,8,0
8.36,527,0,96,3,99,mech,3,1
5.66,520,0,99,5,81,ece,4,0
9.75,300,2,70,4,77,ece,0,1
5.92,878,3,80,5,77,cse,8,0
9.44,319,3,71,5,59,civil,8,1
7.22,465,3,60,0,80,civil,5,0
6.71,364,3,99,2,40,ece,7,1
5.81,863,3,88,3,81,eee,6,1
7.19,870,1,67,3,51,civil,1,0
9.16,340,1,58,5,51,ece,4,0
9.42,601,0,95,1,45,eee,1,1
6.75,500,0,92,1,70,mech,1,1
6.7,157,0,61,1,73,cse,6,0
9.94,929,2,86,3,88,eee,6,1
8.57,501,2,70,2,82,mech,6,0
9.89,488,0,55,3,95,mech,2,1
6.05,693,2,99,1,63,mech,7,0
8.47,153,2,56,5,63,cse,5,0
6.55,646,3,94,0,62,mech,7,0
9.36,252,3,73,4,52,ece,8,0
9.03,883,0,63,3,90,cse,4,0
9.98,628,1,83,0,70,civil,3,1
6.27,825,0,61,3,85,cse,2,0
6.97,542,2,69,5,56,mech,1,0
9.65,798,3,60,5,61,ece,1,1
7.2,884,3,96,5,90,civil,6,0
6.51,268,2,60,0,45,eee,3,0
6.02,526,1,75,3,76,cse,4,1
7.91,547,3,75,2,91,ece,8,1
8.16,259,3,55,4,94,mech,5,1
9.74,374,3,98,3,49,civil,4,1
8.49,869,0,93,2,59,civil,1,1
9.31,737,3,95,1,71,eee,6,1
9.15,306,1,69,5,87,cse,2,0
8.77,456,1,56,4,65,eee,6,0
9.96,925,3,80,0,73,eee,4,1
6.38,711,3,61,1,60,civil,0,0
8.69,618,1,91,1,68,mech,4,0
6.44,916,1,96,0,63,civil,1,0
9.95,301,3,82,5,93,ece,0,1
9.88,333,0,62,4,81,eee,6,0
8.32,563,1,57,0,55,mech,7,1
8.18,326,3,99,5,82,cse,7,0
8.43,431,3,78,0,47,cse,1,1
8.39,671,1,56,4,76,civil,7,1
8.85,757,1,79,3,81,mech,4,1
5.95,215,1,80,5,41,mech,8,0
9.03,692,3,59,4,93,civil,8,0
9.06,277,1,97,0,51,civil,2,1
7.51,471,0,57,1,76,ece,2,1
6.66,921,0,60,0,72,eee,5,0
6.27,823,0,70,2,42,civil,4,0
7.5,740,3,99,2,73,eee,8,1
8.6,828,0,70,0,52,ece,4,0
6.47,287,1,92,2,57,ece,6,1
6.65,540,1,80,3,45,eee,6,0
6.14,358,0,95,5,57,ece,5,0
8.41,673,1,81,1,60,mech,6,1
8.22,229,2,62,4,47,civil,6,1
8.38,521,2,72,1,95,ece,4,1
7.2,377,3,61,0,51,civil,4,0
9.13,247,2,99,4,95,eee,8,1
5.95,199,1,75,3,51,eee,8,0
9.47,562,3,92,1,56,cse,8,1
8.46,296,3,91,5,57,cse,5,1
6.62,773,3,100,3,51,mech,5,0
7.76,432,3,88,5,96,ece,4,1
5.89,462,3,75,0,80,cse,1,0
9.75,319,0,60,5,58,civil,7,0
5.55,584,1,85,3,72,civil,1,0
8.27,913,0,100,3,84,civil,5,1
8.83,690,0,93,3,50,civil,3,1
7.15,286,2,58,3,71,mech,2,0
6.01,845,1,89,0,58,eee,7,1
6.46,905,3,68,2,99,civil,0,0
9.52,649,0,77,0,79,mech,5,1
5.98,508,1,80,2,40,cse,6,0
5.88,676,1,81,0,98,mech,0,1
8.45,381,3,80,2,59,eee,6,0
7.91,425,0,83,5,93,mech,2,1
8.86,155,2,100,1,47,ece,4,1
7.28,911,2,57,1,82,ece,7,0
9.92,271,3,86,4,71,ece,5,1
9.01,559,3,63,0,46,cse,2,1
7.75,935,1,58,5,93,eee,6,0
8.82,594,3,73,2,71,cse,6,1
6.19,673,1,70,2,89,cse,4,0
6.61,589,1,85,5,90,cse,8,0
6.35,755,1,69,0,48,mech,0,0
6.36,299,3,56,4,52,cse,0,0
7.86,866,1,69,2,67,mech,0,0
8.4,461,0,72,2,57,eee,6,1
9.53,336,0,55,0,82,eee,3,1
6.76,771,0,82,1,56,mech,5,1
6.0,835,0,98,4,89,ece,5,1
9.15,910,2,70,5,57,ece,6,1
5.98,794,0,57,4,98,ece,3,0
9.66,226,2,74,5,70,ece,8,0
5.7,346,3,90,5,56,civil,5,0
7.52,884,0,82,0,70,mech,8,0
7.77,172,1,93,2,84,ece,4,1
8.05,860,1,80,3,83,civil,8,0
6.24,918,3,90,3,65,civil,4,1
5.52,735,1,92,5,40,civil,7,0
8.74,415,2,69,2,85,eee,8,1
6.51,696,1,73,0,80,ece,4,0
6.72,202,1,68,4,47,cse,5,0
9.87,482,0,100,4,56,ece,6,0
6.83,208,0,77,1,86,eee,2,0
5.57,823,0,99,3,100,eee,8,1
7.49,482,2,68,4,80,mech,2,0
8.78,594,2,64,3,45,mech,2,1
9.17,330,1,91,3,100,ece,4,1
6.23,331,3,98,4,52,cse,2,1
6.6,810,3,61,5,73,ece,0,0
7.2,171,0,55,5,99,cse,2,0
5.88,296,0,55,0,74,eee,1,0
7.66,726,3,65,2,61,mech,2,1
7.95,423,0,56,0,46,civil,4,1
9.49,575,1,55,1,41,ece,6,1
7.09,443,1,98,3,83,cse,7,1
6.0,254,2,77,0,79,eee,1,0
9.66,236,0,93,1,51,mech,8,1
6.32,585,1,97,5,59,civil,4,1
5.97,661,2,71,5,91,cse,0,0
9.9,946,1,75,1,64,mech,7,0
6.01,587,2,64,0,60,ece,2,0
7.09,656,3,85,5,66,civil,5,1
9.75,401,3,81,4,71,civil,8,1
7.91,385,3,60,4,85,mech,8,0
8.62,916,1,99,0,55,eee,0,1
9.33,521,3,63,0,43,eee,5,0
9.4,292,2,84,1,93,civil,6,1
9.23,207,1,62,5,85,ece,6,0
8.63,584,2,58,5,46,civil,1,0
8.17,311,0,64,2,49,cse,3,1
8.06,576,1,66,3,87,ece,8,0
6.85,571,2,83,5,84,cse,4,1
5.77,807,0,93,1,72,ece,0,0
7.41,615,2,91,4,59,ece,6,0
6.72,244,3,63,5,53,mech,0,1
6.33,913,0,99,3,70,eee,6,0
6.24,530,3,67,2,46,cse,1,1
9.0,493,0,70,2,50,civil,1,1
8.19,924,2,67,4,52,cse,3,1
9.89,728,0,91,3,42,cse,5,1
6.89,515,2,80,4,52,eee,6,0
9.88,869,0,76,3,97,civil,1,1
8.99,174,3,85,4,95,cse,4,1
8.57,230,0,100,1,96,ece,2,0
6.22,663,2,83,1,61,eee,5,0
9.73,190,3,70,1,79,civil,1,0
8.05,659,0,55,1,89,eee,8,0
9.09,239,3,61,3,60,ece,4,1
6.76,522,2,60,0,51,mech,4,0
9.9,931,3,96,1,100,cse,7,1
9.37,560,3,94,5,48,mech,5,1
8.31,471,2,60,5,66,civil,7,1
9.44,848,0,94,5,43,ece,8,1
9.34,447,3,65,4,65,cse,3,1
7.58,245,2,84,3,81,civil,7,1
6.31,260,3,82,1,65,eee,1,0
9.98,647,1,99,5,70,cse,4,1
7.95,631,1,95,1,60,civil,0,0
8.98,213,2,82,3,53,cse,3,0
9.79,850,3,72,2,80,ece,1,1
6.73,233,2,100,3,95,mech,8,1
9.52,338,0,60,3,61,eee,2,1
9.74,643,3,89,5,90,ece,6,1
8.62,548,0,90,4,52,cse,2,1
9.94,901,2,55,1,97,mech,2,1
6.92,840,3,71,4,86,cse,7,0
9.36,799,3,95,4,46,cse,3,1
6.34,863,1,93,3,53,eee,3,0
9.87,740,0,78,2,41,eee,4,1
9.4,866,3,96,3,66,mech,5,1
7.94,685,2,62,1,69,mech,5,1
8.18,705,3,79,2,94,mech,4,0
9.72,251,0,61,0,81,cse,6,1
8.87,788,0,95,3,72,civil,0,0
9.33,366,1,84,4,64,cse,3,0
9.78,509,3,81,5,85,mech,0,0
9.02,669,2,72,5,56,eee,6,1
5.52,574,0,55,0,49,eee,8,0
8.2,493,1,91,3,55,civil,6,1
8.4,202,3,63,5,64,ece,6,0
7.83,597,1,61,5,91,ece,8,1
8.1,551,2,90,1,100,eee,3,1
5.62,161,1,56,4,85,civil,1,0
5.61,901,1,84,5,80,eee,2,1
9.54,454,1,89,1,86,mech,4,0
6.74,297,0,95,4,95,cse,1,0
8.18,259,1,73,2,97,ece,1,1
9.3,362,3,61,3,90,cse,6,1
9.82,228,1,98,3,64,eee,7,0
6.31,160,1,97,4,80,civil,0,1
7.04,505,3,94,4,74,cse,2,1
6.65,274,1,93,0,74,cse,8,0
6.19,523,0,68,0,60,ece,3,1
8.61,279,2,72,3,52,cse,5,0
8.43,628,3,82,4,100,mech,3,1
6.39,884,2,80,0,77,civil,4,1
6.43,889,3,82,3,67,civil,4,0
8.3,771,3,82,1,76,eee,5,0
9.19,610,1,57,4,56,civil,6,1
9.22,810,2,80,0,47,ece,5,1
6.34,401,0,68,5,63,eee,2,0
6.05,476,0,100,2,53,mech,5,0
8.03,544,2,93,1,73,ece,1,1
8.72,837,0,91,5,66,mech,5,0
6.39,200,3,86,0,57,mech,1,1
6.27,484,3,70,4,41,eee,0,0
9.35,154,3,73,1,93,mech,0,0
9.63,190,2,96,0,44,mech,1,0
7.37,458,2,75,2,65,cse,8,0
7.72,198,3,74,5,69,mech,1,0
9.72,255,0,69,0,92,cse,2,1
6.95,854,3,69,1,45,ece,5,0
7.92,155,0,71,0,47,cse,4,1
6.98,777,3,72,5,50,ece,7,1
6.94,301,3,95,3,82,cse,8,1
8.1,827,3,72,2,89,mech,3,1
8.95,878,0,77,4,93,ece,3,1
5.84,656,0,68,0,82,ece,7,0
6.35,257,2,68,4,88,civil,8,0
8.92,469,3,96,1,94,civil,1,0
6.48,522,3,83,4,72,ece,6,1
6.75,318,2,91,5,46,ece,7,0
8.85,396,0,84,1,57,cse,7,0
